gene,143BN_BB_1,143BN_BB_1.father,143BN_BB_1.mother,change,167BZ_SP_1,167BZ_SP_1.father,167BZ_SP_1.mother,change,179CI_GG_1,179CI_GG_1.father,179CI_GG_1.mother,change,297EW_BP_1,297EW_BP_1.father,297EW_BP_1.mother,change,59R_AM_1,59R_AM_1.father,59R_AM_1.mother,change
RP11-156E8.1,0,0,0,NA,1,0,0,NEw,1,0,1,SAME,0,0,0,NA,0,0,0,NA
RP11-683L23.1,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
RP1L1,2,1,1,INCREASE,1,3,0,SAME,0,0,0,NA,2,2,2,SAME,0,0,0,NA
RRBP1,0,0,0,NA,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA
SAMD1,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
SAMD11,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
SCAF1,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
SEBOX,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
SELPLG,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME
SERAC1,1,0,1,SAME,0,0,0,NA,1,1,0,SAME,0,0,0,NA,1,1,0,SAME
SERPINA1,1,1,3,SAME,2,1,3,SAME,2,2,3,SAME,2,1,4,SAME,0,0,0,NA
SETD1A,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
SH3BP1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
SHANK3,3,3,3,SAME,3,3,3,SAME,3,3,3,SAME,3,3,3,SAME,3,3,3,SAME
SKA3,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
SLC2A7,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
SMPD1,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
SNAPC2,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,0,NEw,0,0,0,NA
SPATA3,1,1,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
SULT1C3,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
TAL1,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,1,1,0,SAME,0,0,0,NA
TAS2R19,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
TCF25,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
TIGD1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
TMEM247,2,2,1,SAME,2,2,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
TMEM37,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
TMUB1,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
TOX3,0,0,0,NA,0,0,0,NA,1,2,0,SAME,0,0,0,NA,0,0,0,NA
TRAPPC2L,0,0,0,NA,2,2,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
TRBV10-1,1,2,1,SAME,1,1,2,SAME,1,1,2,SAME,2,1,3,SAME,1,3,1,SAME
TRBV10-2,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
TRBV11-1,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,1,1,0,SAME
TRBV3-1,2,1,1,INCREASE,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,2,0,SAME
TRBV4-2,2,0,0,NEw,1,0,1,SAME,1,1,0,SAME,0,0,0,NA,1,0,0,NEw
TRBV5-4,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
TRBV5-5,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
